[1063] path_loss: 1.451, valid_len_loss: 37.266, std_loss: 0.118, lr: 0.006526398938149214.
[1071] path_loss: 0.331, valid_len_loss: 50.29, std_loss: 0.103, lr: 0.006476455833762884.
[1079] path_loss: 1.059, valid_len_loss: 82.007, std_loss: 0.208, lr: 0.006426351144909859.
[1087] path_loss: 1.412, valid_len_loss: 46.851, std_loss: 0.147, lr: 0.0063760895282030106.
[1095] path_loss: 0.184, valid_len_loss: 51.227, std_loss: 0.143, lr: 0.006325677037239075.
[1103] path_loss: 0.104, valid_len_loss: 49.888, std_loss: 0.151, lr: 0.006275119259953499.
[1111] path_loss: 1.267, valid_len_loss: 50.754, std_loss: 0.257, lr: 0.006224421784281731.
[1119] path_loss: 0.259, valid_len_loss: 55.127, std_loss: 0.14, lr: 0.0061735897324979305.
epoch0, file 162 / 1552
[1127] path_loss: 0.063, valid_len_loss: 49.405, std_loss: 0.067, lr: 0.006122629623860121.
[1135] path_loss: 0.084, valid_len_loss: 41.577, std_loss: 0.073, lr: 0.006071545649319887.
[1143] path_loss: 0.03, valid_len_loss: 37.57, std_loss: 0.124, lr: 0.006020344793796539.
[1151] path_loss: 0.043, valid_len_loss: 34.157, std_loss: 0.104, lr: 0.00596903171390295.
[1159] path_loss: 0.343, valid_len_loss: 28.168, std_loss: 0.077, lr: 0.005917612463235855.
[1167] path_loss: 0.197, valid_len_loss: 112.792, std_loss: 0.162, lr: 0.005866092164069414.
[1175] path_loss: 0.095, valid_len_loss: 31.061, std_loss: 0.056, lr: 0.00581447733566165.
[1183] path_loss: 0.215, valid_len_loss: 33.156, std_loss: 0.077, lr: 0.005762773100286722.
[1191] path_loss: 0.499, valid_len_loss: 37.554, std_loss: 0.117, lr: 0.005710985045880079.
[1199] path_loss: 0.881, valid_len_loss: 38.576, std_loss: 0.141, lr: 0.005659119226038456.
[1207] path_loss: 0.638, valid_len_loss: 18.34, std_loss: 0.15, lr: 0.0056071812286973.
[1215] path_loss: 1.104, valid_len_loss: 21.21, std_loss: 0.202, lr: 0.005555176641792059.
[1223] path_loss: 0.196, valid_len_loss: 23.542, std_loss: 0.065, lr: 0.005503111053258181.
[1231] path_loss: 0.517, valid_len_loss: 23.99, std_loss: 0.101, lr: 0.005450990051031113.
epoch0, file 178 / 1552
[1239] path_loss: 0.373, valid_len_loss: 64.452, std_loss: 0.182, lr: 0.005398820154368877.
[1247] path_loss: 0.512, valid_len_loss: 78.206, std_loss: 0.113, lr: 0.005346606019884348.
[1255] path_loss: 0.416, valid_len_loss: 70.692, std_loss: 0.083, lr: 0.0052943541668355465.
[1263] path_loss: 0.536, valid_len_loss: 74.221, std_loss: 0.075, lr: 0.0052420697174966335.
[1271] path_loss: 0.769, valid_len_loss: 55.653, std_loss: 0.08, lr: 0.005189759191125631.
[1279] path_loss: 0.261, valid_len_loss: 51.866, std_loss: 0.083, lr: 0.005137427244335413.
[1287] path_loss: 0.794, valid_len_loss: 55.876, std_loss: 0.068, lr: 0.005085080862045288.
[1295] path_loss: 0.942, valid_len_loss: 34.499, std_loss: 0.068, lr: 0.00503272470086813.
[1303] path_loss: 0.407, valid_len_loss: 43.164, std_loss: 0.123, lr: 0.00498036528006196.
[1311] path_loss: 0.229, valid_len_loss: 53.327, std_loss: 0.186, lr: 0.00492800772190094.
[1319] path_loss: 0.13, valid_len_loss: 55.839, std_loss: 0.147, lr: 0.004875658079981804.
[1327] path_loss: 0.311, valid_len_loss: 63.53, std_loss: 0.104, lr: 0.004823322407901287.
[1335] path_loss: 0.616, valid_len_loss: 65.099, std_loss: 0.123, lr: 0.00477100582793355.
[1343] path_loss: 0.824, valid_len_loss: 67.188, std_loss: 0.081, lr: 0.004718714393675327.
epoch0, file 194 / 1552
[1351] path_loss: 0.311, valid_len_loss: 59.123, std_loss: 0.101, lr: 0.004666453693062067.
[1359] path_loss: 0.31, valid_len_loss: 73.842, std_loss: 0.073, lr: 0.004614229779690504.
[1367] path_loss: 0.329, valid_len_loss: 58.17, std_loss: 0.093, lr: 0.004562047775834799.
[1375] path_loss: 0.982, valid_len_loss: 64.025, std_loss: 0.228, lr: 0.0045099142007529736.
[1383] path_loss: 0.21, valid_len_loss: 60.802, std_loss: 0.089, lr: 0.004457834176719189.
[1391] path_loss: 0.367, valid_len_loss: 61.447, std_loss: 0.073, lr: 0.004405813757330179.
[1399] path_loss: 0.258, valid_len_loss: 55.083, std_loss: 0.09, lr: 0.004353858530521393.
[1407] path_loss: 0.687, valid_len_loss: 71.843, std_loss: 0.141, lr: 0.004301974084228277.
[1415] path_loss: 0.63, valid_len_loss: 47.681, std_loss: 0.112, lr: 0.00425016600638628.
[1423] path_loss: 1.968, valid_len_loss: 63.798, std_loss: 0.224, lr: 0.004198440350592136.
[1431] path_loss: 0.927, valid_len_loss: 55.229, std_loss: 0.246, lr: 0.004146802704781294.
[1439] path_loss: 0.616, valid_len_loss: 48.583, std_loss: 0.093, lr: 0.0040952586568892.
[1447] path_loss: 0.561, valid_len_loss: 51.454, std_loss: 0.114, lr: 0.004043813329190016.
[1455] path_loss: 0.887, valid_len_loss: 65.9, std_loss: 0.113, lr: 0.003992473240941763.
epoch0, file 210 / 1552
[1463] path_loss: 0.149, valid_len_loss: 57.228, std_loss: 0.148, lr: 0.003941243514418602.
[1471] path_loss: 0.474, valid_len_loss: 50.531, std_loss: 0.17, lr: 0.003890130203217268.
[1479] path_loss: 0.247, valid_len_loss: 52.023, std_loss: 0.146, lr: 0.0038391384296119213.
[1487] path_loss: 0.067, valid_len_loss: 48.524, std_loss: 0.117, lr: 0.0037882737815380096.
[1495] path_loss: 0.119, valid_len_loss: 58.652, std_loss: 0.089, lr: 0.0037375420797616243.
[1503] path_loss: 0.2, valid_len_loss: 75.676, std_loss: 0.154, lr: 0.003686948912218213.
[1511] path_loss: 0.39, valid_len_loss: 70.688, std_loss: 0.309, lr: 0.00363649963401258.
[1519] path_loss: 0.596, valid_len_loss: 62.353, std_loss: 0.321, lr: 0.003586200065910816.
[1527] path_loss: 0.369, valid_len_loss: 72.816, std_loss: 0.178, lr: 0.0035360553301870823.
[1535] path_loss: 0.068, valid_len_loss: 70.348, std_loss: 0.148, lr: 0.0034860712476074696.
[1543] path_loss: 0.056, valid_len_loss: 60.547, std_loss: 0.085, lr: 0.0034362529404461384.
[1551] path_loss: 0.394, valid_len_loss: 63.96, std_loss: 0.094, lr: 0.0033866064622998238.
[1559] path_loss: 0.143, valid_len_loss: 47.704, std_loss: 0.163, lr: 0.0033371367026120424.
[1567] path_loss: 0.241, valid_len_loss: 61.171, std_loss: 0.074, lr: 0.003287849249318242.
epoch0, file 226 / 1552
[1575] path_loss: 0.418, valid_len_loss: 41.86, std_loss: 0.047, lr: 0.0032387496903538704.
[1583] path_loss: 0.534, valid_len_loss: 44.043, std_loss: 0.061, lr: 0.0031898433808237314.
[1591] path_loss: 0.67, valid_len_loss: 46.297, std_loss: 0.086, lr: 0.0031411354430019855.
[1599] path_loss: 0.885, valid_len_loss: 43.985, std_loss: 0.086, lr: 0.003092631231993437.
[1607] path_loss: 2.169, valid_len_loss: 47.132, std_loss: 0.259, lr: 0.003044336335733533.
[1615] path_loss: 3.005, valid_len_loss: 52.888, std_loss: 0.244, lr: 0.002996255876496434.
[1623] path_loss: 2.273, valid_len_loss: 52.902, std_loss: 0.122, lr: 0.002948394976556301.
[1631] path_loss: 1.863, valid_len_loss: 54.928, std_loss: 0.204, lr: 0.0029007592238485813.
[1639] path_loss: 2.347, valid_len_loss: 61.541, std_loss: 0.307, lr: 0.002853353740647435.
[1647] path_loss: 0.431, valid_len_loss: 89.196, std_loss: 0.18, lr: 0.002806183649227023.
[1655] path_loss: 0.958, valid_len_loss: 59.8, std_loss: 0.195, lr: 0.0027592540718615055.
[1663] path_loss: 0.276, valid_len_loss: 53.993, std_loss: 0.165, lr: 0.0027125701308250427.
[1671] path_loss: 0.257, valid_len_loss: 55.523, std_loss: 0.112, lr: 0.002666137181222439.
[1679] path_loss: 0.852, valid_len_loss: 53.099, std_loss: 0.291, lr: 0.0026199601124972105.
epoch0, file 242 / 1552
[1687] path_loss: 0.654, valid_len_loss: 65.609, std_loss: 0.076, lr: 0.002574044046923518.
[1695] path_loss: 0.542, valid_len_loss: 65.753, std_loss: 0.076, lr: 0.0025283938739448786.
[1703] path_loss: 0.577, valid_len_loss: 54.245, std_loss: 0.061, lr: 0.0024830149486660957.
[1711] path_loss: 0.579, valid_len_loss: 58.359, std_loss: 0.083, lr: 0.0024379119277000427.
[1719] path_loss: 0.66, valid_len_loss: 53.864, std_loss: 0.083, lr: 0.00239308993332088.
[1727] path_loss: 0.599, valid_len_loss: 42.327, std_loss: 0.11, lr: 0.002348553854972124.
[1735] path_loss: 0.525, valid_len_loss: 42.436, std_loss: 0.093, lr: 0.0023043083492666483.
[1743] path_loss: 0.296, valid_len_loss: 59.553, std_loss: 0.103, lr: 0.002260358538478613.
[1751] path_loss: 0.444, valid_len_loss: 71.093, std_loss: 0.071, lr: 0.0022167093120515347.
[1759] path_loss: 0.369, valid_len_loss: 70.992, std_loss: 0.083, lr: 0.002173365093767643.
[1767] path_loss: 0.55, valid_len_loss: 68.374, std_loss: 0.083, lr: 0.0021303310059010983.
[1775] path_loss: 0.451, valid_len_loss: 81.133, std_loss: 0.068, lr: 0.00208761147223413.
[1783] path_loss: 0.389, valid_len_loss: 79.883, std_loss: 0.132, lr: 0.0020452113822102547.
[1791] path_loss: 0.68, valid_len_loss: 83.818, std_loss: 0.096, lr: 0.0020031353924423456.
epoch0, file 258 / 1552
[1799] path_loss: 0.672, valid_len_loss: 58.614, std_loss: 0.163, lr: 0.001961387926712632.
[1807] path_loss: 0.611, valid_len_loss: 53.802, std_loss: 0.137, lr: 0.0019199737580493093.
[1815] path_loss: 0.792, valid_len_loss: 58.553, std_loss: 0.166, lr: 0.0018788973102346063.
[1823] path_loss: 0.633, valid_len_loss: 73.54, std_loss: 0.139, lr: 0.0018381631234660745.
[1831] path_loss: 0.635, valid_len_loss: 58.402, std_loss: 0.191, lr: 0.0017977756215259433.
[1839] path_loss: 0.385, valid_len_loss: 73.198, std_loss: 0.144, lr: 0.001757739344611764.
[1847] path_loss: 0.432, valid_len_loss: 57.027, std_loss: 0.152, lr: 0.001718058600090444.
[1855] path_loss: 0.259, valid_len_loss: 58.163, std_loss: 0.078, lr: 0.001678737811744213.
[1863] path_loss: 0.526, valid_len_loss: 57.303, std_loss: 0.132, lr: 0.0016397811705246568.
[1871] path_loss: 0.413, valid_len_loss: 54.075, std_loss: 0.115, lr: 0.0016011931002140045.
[1879] path_loss: 0.936, valid_len_loss: 58.713, std_loss: 0.221, lr: 0.0015629776753485203.
[1887] path_loss: 0.159, valid_len_loss: 48.592, std_loss: 0.182, lr: 0.0015251390868797898.
[1895] path_loss: 0.91, valid_len_loss: 53.19, std_loss: 0.158, lr: 0.0014876816421747208.
[1903] path_loss: 0.896, valid_len_loss: 54.671, std_loss: 0.176, lr: 0.001450609415769577.
epoch0, file 274 / 1552
[1911] path_loss: 0.247, valid_len_loss: 44.73, std_loss: 0.091, lr: 0.0014139263657853007.
[1919] path_loss: 0.044, valid_len_loss: 38.295, std_loss: 0.11, lr: 0.0013776365667581558.
